Datetime,PowerOut,ArrayPower,Service,DelvrEff,BatSoc,BatDrain,BatPwr,Warn,Month,DayofMonth,DayofYear,AC_Load,DC_Load,Total_Load
2021-08-13 12:00:00-06:00,3.877551020408163,129.69774639604884,1.0,0.02989682649201598,100.0,104.52703356133324,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 13:00:00-06:00,3.877551020408163,129.89634567253935,1.0,0.029851117060546332,100.0,104.69253295840866,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 14:00:00-06:00,3.877551020408163,120.5644069286936,1.0,0.03216165632284406,100.0,96.91591733853721,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 15:00:00-06:00,3.877551020408163,101.84448941229032,1.0,0.03807325308206838,100.0,81.3159860748678,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 16:00:00-06:00,3.877551020408163,74.49448935155486,1.0,0.05205151487258608,100.0,58.52431935758824,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 17:00:00-06:00,3.877551020408163,41.156942329451866,1.0,0.09421377782074426,100.0,30.743030172502415,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 18:00:00-06:00,3.877551020408163,10.081427141125202,1.0,0.38462322507797087,100.0,4.846767515563519,1320.0,,8,13,225,0.0,3.5,3.5
2021-08-13 19:00:00-06:00,3.877551020408163,0.05725876941074028,1.0,1.0,99.68120853386073,-4.208047353038239,1315.0300389234562,,8,13,225,0.0,3.5,3.5
2021-08-13 20:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.35789206467905,-4.26530612244898,1309.9920258487095,,8,13,225,0.0,3.5,3.5
2021-08-13 21:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,99.03438488526508,-4.26530612244898,1304.9535618284974,,8,13,225,0.0,3.5,3.5
2021-08-13 22:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.71068603456253,-4.26530612244898,1299.914644609566,,8,13,225,0.0,3.5,3.5
2021-08-13 23:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.38679454273245,-4.26530612244898,1294.8752719182312,,8,13,225,0.0,3.5,3.5
2021-08-14 00:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,98.06270943103704,-4.26530612244898,1289.8354414601097,,8,14,226,0.0,3.5,3.5
2021-08-14 01:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.73842971172132,-4.26530612244898,1284.7951509198472,,8,14,226,0.0,3.5,3.5
2021-08-14 02:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.41395438789286,-4.26530612244898,1279.754397960839,,8,14,226,0.0,3.5,3.5
2021-08-14 03:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,97.08928245339924,-4.26530612244898,1274.7131802249492,,8,14,226,0.0,3.5,3.5
2021-08-14 04:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.76441289270358,-4.26530612244898,1269.6714953322214,,8,14,226,0.0,3.5,3.5
2021-08-14 05:00:00-06:00,3.877551020408163,-0.0,1.0,0.0,96.4393446807576,-4.26530612244898,1264.6293408805873,,8,14,226,0.0,3.5,3.5
2021-08-14 06:00:00-06:00,3.877551020408163,0.01970058527337774,1.0,1.0,96.11557912942766,-4.245605537175602,1259.609999265551,,8,14,226,0.0,3.5,3.5
2021-08-14 07:00:00-06:00,3.877551020408163,9.230239090953562,1.0,0.4200921538650608,96.43129021452864,4.137444140420485,1264.5044407882322,,8,14,226,0.0,3.5,3.5
2021-08-14 08:00:00-06:00,3.877551020408163,40.0123506331621,1.0,0.09690885336775146,98.70301917037654,29.789203758927602,1299.7953277417446,,8,14,226,0.0,3.5,3.5
2021-08-14 09:00:00-06:00,3.877551020408163,73.56177685337309,1.0,0.052711492112773276,100.0,57.74705894243676,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 10:00:00-06:00,3.877551020408163,101.26340495086482,1.0,0.038291730584110166,100.0,80.83174902367989,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 11:00:00-06:00,3.877551020408163,120.36640264304307,1.0,0.032214562662534446,100.0,96.75091376716176,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 12:00:00-06:00,3.877551020408163,130.07819878761688,1.0,0.029809384328415962,100.0,104.84407722097328,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 13:00:00-06:00,3.877551020408163,130.24689756591388,1.0,0.029770774528014042,100.0,104.98465953622078,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 14:00:00-06:00,3.877551020408163,120.86973546189414,1.0,0.03208041289732627,100.0,97.17035778287098,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 15:00:00-06:00,3.877551020408163,102.08486211622645,1.0,0.03798360442504652,100.0,81.51629666148123,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 16:00:00-06:00,3.877551020408163,74.64294195899267,1.0,0.05194799291992553,100.0,58.648029863786405,1320.0,,8,14,226,0.0,3.5,3.5
2021-08-14 17:00:00-06:00,3.877551020408163,41.183336331060275,1.0,0.09415339712250881,100.0,30.76502517384275,1320.0,,8,14,226,0.0,3.5,3.5
